month,business,buschange,government,govchange,eduhealth,ehchange,hospitality,hchange,other,otherchange,ttu,ttuchange,finance,fchange,information,ichange,mlc,mlcchange,manufacturing,jobs,jobchange,workforce,participation,employed,employedratio,unemployed,unemployment,primepop,residentdcjobratio,dmvjobs,dmvchange,dcdmvjobratio,dmvbusiness,dmvbchange,dmvgov,dmvgovchange
Aug-22,175500,500,236100,-3900,122800,-400,69500,1100,66600,200,30700,100,27800,0,21100,400,15300,200,1000,766400,-1900,390938,71.1,375521,68.3,15417,3.9,549827,49.0,2722600,-11000,28.1,674100,-600,591300,-8200
Sep-22,176000,500,236200,100,123000,200,69700,200,66500,-100,30600,-100,27700,-100,20900,-200,15400,100,1000,767000,600,388991,70.7,373095,67.8,15896,4.1,550244,48.6,2724700,2100,28.1,668200,-5900,604800,13500
Oct-22,174900,-1100,235600,-600,122700,-300,70900,1200,67600,1100,30700,100,27600,-100,20900,0,15300,-100,1000,767200,200,387812,70.4,371532,67.4,16280,4.2,551052,48.4,2747400,22700,27.9,672400,4200,609900,5100
Nov-22,175000,100,235300,-300,122800,100,72800,1900,68100,500,30800,100,27800,200,21000,100,15200,-100,1000,769800,2600,387879,70.3,371498,67.4,16381,4.2,551466,48.3,2763100,15700,27.9,671900,-500,614700,4800
Dec-22,174500,-500,234500,-800,123100,300,74000,1200,68300,200,30600,-200,27900,100,21100,100,15200,0,1000,770200,400,388214,70.4,371865,67.4,16349,4.2,551584,48.3,2754700,-8400,28.0,668900,-3000,611200,-3500
Jan-23,174600,100,234200,-300,122500,-600,74300,300,68600,300,30700,100,27600,-300,21000,-100,15100,-100,1000,769600,-600,389168,70.5,371846,67.3,17322,4.5,552266,48.3,2715800,-38900,28.3,664800,-4100,606500,-4700
Feb-23,174000,-600,234600,400,123700,1200,75500,1200,68300,-300,30600,-100,27800,200,20900,-100,15100,0,1000,771500,1900,389688,70.5,371531,67.2,18157,4.7,552811,48.2,2726900,11100,28.3,667400,2600,613400,6900
Mar-23,174700,700,234300,-300,123500,-200,75900,400,68800,500,30300,-300,28300,500,20800,-100,15500,400,1000,773100,1600,390485,70.6,371613,67.2,18872,4.8,553045,48.1,2743000,16100,28.2,670600,3200,612500,-900
Apr-23,174400,-300,234700,400,122800,-700,75500,-400,69600,800,30200,-100,28100,-200,20800,0,15600,100,1000,772700,-400,390815,70.6,371381,67.1,19434,5,553518,48.1,2751600,8600,28.1,668700,-1900,613800,1300
May-23,174700,300,234900,200,123700,900,76600,1100,70300,700,30200,0,28400,300,20900,100,15600,0,1000,776300,3600,391919,70.8,372065,67.2,19854,5.1,553613,47.9,2766300,14700,28.1,670600,1900,616900,3100
Jun-23,175200,500,234200,-700,124800,1100,77500,900,69900,-400,30300,100,28400,0,21200,300,15300,-300,1000,777800,1500,392470,70.8,372601,67.2,19869,5.1,554401,47.9,2788300,22000,27.9,676700,6100,615100,-1800
Jul-23,174700,-500,234400,200,123900,-900,76200,-1300,69800,-100,30500,200,28500,100,21200,0,15400,100,1000,775600,-2200,392647,70.8,373079,67.3,19568,5,554469,48.1,2774800,-13500,28.0,675800,-900,600600,-14500
Aug-23,174400,-300,234800,400,124900,1000,76300,100,70000,200,30500,0,28400,-100,21400,200,15500,100,1000,777200,1600,393221,70.9,373704,67.3,19517,5,554947,48.1,2766800,-8000,28.1,674000,-1800,594500,-6100
