month,business,buschange,government,govchange,eduhealth,ehchange,hospitality,hchange,other,otherchange,ttu,ttuchange,finance,fchange,information,ichange,mlc,mlcchange,manufacturing,mchange,dcjobs,dcjobchangea,dcworkforcea,dcemployeda,dcunemployeda,dcunemploymenta,dcpop,dcparticipation,dcemployedratio,dcworkforce,dcemployed,dcunemployed,dcunemployment,dvjobs,dvjobchange,dvworkforce,dvemployed,dvunemployed,dvunemployment,vjobs,vjobchange,vworkforce,vemployed,vunemployed,vunemployment,dvbusiness,dvbchange,dvgov,dvgovchange,mjobs,mjobchange,mworkfoce,memployed,munemployed,munemployment,dmvjobs,dmvjobchange,dmvworkforce,dmvemployed,dmvunemployed,dmvunemployment,mvjobs,mvjobschange,mvworkforce,mvemployed,mvunemployed,mvunemployment,dcopenjobrate,dcopenings,dcleaves,dchires,dcnewjobs,smjobs,smworkforce,smemployed,smunemployed,smunemployment,vajobs,vaworkforce,vaemployed,vaunemployed,vaunemployment,smjobportion,nmjobportion,dcjobportion,vajobportion,smworkportion,nmworkportion,dcworkportion,vaworkportion
Jan-22,171600,500,241500,-700,120400,-700,62500,0,67000,200,30000,400,27400,100,20400,0,15500,0,1000,-100,757400,-200,383681,360522,23159,6.0,548005,69.5,65.1,380671,356734,23937,6.3,2649600,,2697680,2603265,94415,3.5,1892200,,2317009,2246531,70478,3.0,656000,,595800,,576100,,675912,653843,22069,3.3,3225700,,3373592,3257108,116484,3.5,2468300,,2992921,2900374,92547,3.1,6.5,47000,26000,21000,-5000,395900,631189,604011,27178,4.3,1496300,1685820,1642520,43300,2.6,12.27,17.86,23.48,46.39,18.54,20.07,10.95,50.43
Feb-22,172000,400,241100,-400,120100,-300,62800,300,67000,0,30300,300,27400,0,20500,100,15500,0,1000,0,757700,300,385691,364028,21663,5.6,548149,70.6,66.7,387107,365514,21593,5.6,2677700,28100,2721429,2634611,86818,3.2,1920000,27800,2334322,2269097,65225,2.8,661300,5300,605200,9400,582300,6200,679386,656943,22443,3.3,3260000,34300,3400815,3291554,109261,3.2,2502300,34000,3013708,2926040,87668,2.9,5.6,39000,19000,20000,1000,402900,632592,607642,24950,3.9,1517100,1701730,1661455,40275,2.4,12.36,17.86,23.24,46.54,18.46,19.96,11.10,50.48
Mar-22,172500,500,241100,0,120700,600,64300,1500,67200,200,30400,100,27400,0,20700,200,15500,0,1100,100,760900,3200,387619,367319,20300,5.2,548396,70.9,67.3,388830,368965,19865,5.1,2685500,7800,2740407,2656642,83765,3.1,1924600,4600,2351577,2287677,63900,2.7,659900,-1400,606700,1500,580500,-1800,682499,661785,20714,3.0,3266000,6000,3422906,3318427,104479,3.1,2505100,2800,3034076,2949462,84614,2.8,5.1,49000,18000,23000,5000,403100,636033,612814,23219,3.7,1521500,1715544,1674863,40681,2.4,12.34,17.77,23.30,46.59,18.47,19.94,11.12,50.47
Apr-22,173200,700,239600,-1500,121600,900,65800,1500,67100,-100,30400,0,27400,0,20700,0,15400,-100,1000,-100,762200,1300,389336,370343,18993,4.9,548713,70.4,67.5,386488,370349,16139,4.2,2706900,21400,2728431,2655796,72635,2.7,1944700,20100,2341943,2285447,56496,2.4,667400,7500,608400,1700,585300,4800,679783,662465,17318,2.5,3292200,26200,3408214,3318261,89953,2.6,2530000,24900,3021726,2947912,73814,2.4,6.1,54000,26000,22000,-4000,407200,630232,609855,20377,3.2,1537500,1711711,1675592,36119,2.1,12.37,17.78,23.15,46.70,18.38,19.96,11.16,50.50
May-22,174400,1200,238400,-1200,123600,2000,66700,900,67000,-100,30200,-200,27500,100,20700,0,15500,100,1100,100,765100,2900,390802,372745,18057,4.6,549051,70.6,67.6,387666,370956,16710,4.3,2713400,6500,2739139,2657329,81810,3.0,1948300,3600,2351473,2286373,65100,2.8,668900,1500,608200,-200,588500,3200,682385,663097,19288,2.8,3301900,9700,3421524,3320426,101098,3.0,2536800,6800,3033858,2949470,84388,2.8,6.3,41000,23000,25000,2000,408900,626762,605661,21101,3.4,1539400,1724711,1680712,43999,2.6,12.38,17.82,23.17,46.62,18.24,19.97,11.17,50.62
Jun-22,173900,-500,237400,-1000,123100,-500,66800,100,66900,-100,30100,-100,27500,0,20700,0,15300,-200,1100,0,762800,-2300,391459,374370,17089,4.4,549355,71.4,67.9,392180,372959,19221,4.9,2722900,9500,2760151,2671490,88661,3.2,1960100,11800,2367971,2298531,69440,2.9,672400,3500,602200,-6000,585900,-2600,688211,663973,24238,3.5,3308800,6900,3448362,3335463,112899,3.3,2546000,9200,3056182,2962504,93678,3.1,5.6,44000,25000,29000,4000,404000,634173,609811,24362,3.8,1556100,1733798,1688720,45078,2.6,12.21,17.71,23.05,47.03,18.28,19.91,11.18,50.63
Jul-22,175000,1100,240000,2600,123200,100,68400,1600,66400,-500,30600,500,27800,300,20700,0,15100,-200,1100,0,768300,5500,391272,375093,16179,4.1,549705,72.5,69.1,398415,379597,18818,4.7,2733600,10700,2776679,2688949,87730,3.2,1965300,5200,2378264,2309352,68912,2.9,674700,2300,599500,-2700,600100,14200,693430,671884,21546,3.1,3333700,24900,3470109,3360833,109276,3.1,2565400,19400,3071694,2981236,90458,2.9,5.2,61000,29000,31000,2000,409400,638331,615367,22964,3.6,1555900,1739933,1693985,45948,2.6,12.28,18.00,23.05,46.67,18.31,19.99,11.29,50.40
Aug-22,175500,500,236100,-3900,122800,-400,69500,1100,66600,200,30700,100,27800,0,21100,400,15300,200,1000,-100,766400,-1900,390938,375521,15417,3.9,550130,71.1,67.9,391193,373359,17834,4.6,2722600,-11000,2754365,2663594,90771,3.3,1956200,-9100,2363172,2290235,72937,3.1,674100,-600,591300,-8200,598400,-1700,687130,665726,21404,3.1,3321000,-12700,3441495,3329320,112175,3.3,2554600,-10800,3050302,2955961,94341,3.1,6.5,35000,33000,23000,-10000,407200,630732,607875,22857,3.6,1549000,1732440,1682360,50080,2.9,12.26,18.02,23.08,46.64,18.26,20.00,11.21,50.53
Sep-22,176000,500,236200,100,123000,200,69700,200,66500,-100,30600,-100,27700,-100,20900,-200,15400,100,1000,0,767000,600,388991,373095,15896,4.1,550563,70.6,67.7,388623,372724,15899,4.1,2724700,2100,2738232,2658695,79537,2.9,1957700,1500,2349609,2285971,63638,2.7,668200,-5900,604800,13500,593700,-4700,680291,661847,18444,2.7,3318400,-2600,3418523,3320542,97981,2.9,2551400,-3200,3029900,2947818,82082,2.7,4.7,47000,26000,26000,0,410400,629366,609908,19458,3.1,1547300,1720243,1676063,44180,2.6,12.37,17.89,23.11,46.63,18.37,19.93,11.22,50.48
Oct-22,174900,-1100,235600,-600,122700,-300,70900,1200,67600,1100,30700,100,27600,-100,20900,0,15300,-100,1000,0,767200,200,387812,371532,16280,4.2,550998,70.2,67.2,386974,370346,16628,4.3,2747400,22700,2754555,2672336,82219,3.0,1980200,22500,2367581,2301990,65591,2.8,672400,4200,609900,5100,596300,2600,684159,664778,19381,2.8,3343700,25300,3438714,3337114,101600,3.0,2576500,25100,3051740,2966768,84972,2.8,5.3,42000,28000,24000,-4000,413700,635219,614292,20927,3.3,1566500,1732362,1687698,44664,2.6,12.37,17.83,22.94,46.85,18.41,19.92,11.10,50.57
