case,region,male,readr,race,snumber,syear,fall,cgpa,rmigrade,rmiage,rmigradc,rmigradhs,rmiarmy,rmimomdad,rmigrandp,rmisibling,rminotstay,rmitried,rmismart,rmiweed,rmigames,rmiprox,rmilikem,rmipeers,spop,rmicigs,ample,rmiresponsible,rmifinish,rmisafeschool,top34
1,2,1,4,1,1,1,1,3,11,16,4,4,3,1,0,0,1,4,3,1,4,2,2,1,2,1,1,5,5,2,1
2,2,0,4,3,1,1,1,3,11,16,4,4,2,1,0,1,1,1,3,1,2,1,1,3,2,1,1,3,5,2,1
3,2,0,5,3,1,1,1,3,11,17,4,4,1,1,0,1,1,4,4,1,3,1,4,4,2,1,1,4,4,3,1
4,2,1,3,4,1,1,1,2,11,16,4,4,4,0,0,1,1,3,1,1,4,1,4,4,2,1,1,4,4,3,1
5,2,0,5,1,1,1,1,3,11,16,4,4,1,0,0,1,1,4,4,1,1,3,4,3,2,1,1,5,3,4,1
6,2,0,2,1,1,1,1,3,11,15,4,4,2,1,0,1,1,3,2,1,1,3,3,1,2,2,1,4,3,3,1
7,2,1,3,4,1,1,1,2,11,17,3,4,3,0,1,1,1,3,3,7,3,1,2,2,2,1,1,4,5,3,1
8,2,0,3,3,1,1,1,3,11,17,2,3,2,0,0,1,3,3,3,1,1,1,3,3,2,1,1,4,4,3,1
9,2,0,3,1,1,1,1,3,11,16,4,4,1,0,0,1,1,4,4,1,3,4,2,2,2,1,1,5,4,4,1
10,2,0,3,2,1,1,1,3,11,16,4,4,2,0,0,0,1,4,4,4,3,3,2,4,2,2,1,5,3,4,1
11,2,1,2,4,1,1,1,1,11,16,2,3,1,0,0,1,3,3,1,2,2,1,3,3,2,1,1,4,3,3,1
12,2,0,4,6,1,1,1,3,11,16,4,4,1,0,0,0,1,2,3,7,3,3,2,2,2,3,1,5,3,3,1
13,2,1,3,1,1,1,1,3,11,16,2,4,4,1,0,1,1,4,3,3,3,2,2,3,2,1,1,4,4,4,1
14,2,0,5,3,1,1,1,3,12,17,3,4,4,1,1,1,1,4,4,1,1,1,3,3,2,1,0,5,5,4,1
15,2,0,3,1,1,1,1,3,12,17,4,4,1,1,0,1,3,4,4,1,4,2,4,4,2,1,1,3,3,4,1
16,2,1,3,3,1,1,1,3,12,18,4,4,2,1,0,0,1,4,3,1,3,3,4,4,2,1,1,5,5,4,1
