case,dc,enroll,workextravert,socialextravert,workout,politics,religion,gwords,gservice,ggifts,gqtime,gtouch,rwords,rservice,rgifts,rqtime,rtouch,spending,texter,tidy,improve,superpower,vacation,goals,harryp,humor,sleep,cooking,music,reading,diy,games,creation, culinary,saturday,iphone,day,tv,debate,peeve,project
1,1,2,2,2,1,2,3,1,0,0,1,0,1,0,0,1,0,2,1,2,4,4,1,2,5,2,1,1,0,0,0,0,1,1,2,1,3,1,3,5,2
2,1,2,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,2,1,1,4,2,1,2,5,1,2,2,1,0,0,0,0,0,4,1,4,1,2,5,5
3,1,1,3,1,1,2,4,1,0,0,1,0,0,1,0,1,0,2,1,1,2,3,3,2,4,2,2,2,1,0,0,1,0,0,2,1,1,4,2,4,3
4,1,1,2,2,1,1,4,0,0,0,1,0,0,0,0,1,0,2,2,2,1,4,1,2,3,2,1,1,0,1,0,0,0,1,2,1,2,1,2,4,5
5,1,3,3,2,1,1,4,0,0,0,1,0,0,0,0,1,1,1,2,2,3,4,1,2,4,2,3,1,1,1,0,0,0,0,1,1,3,1,1,4,1
6,1,1,1,1,2,2,4,0,0,1,1,0,0,1,0,1,0,4,1,2,4,2,1,1,2,2,1,2,0,1,0,0,0,0,4,1,3,1,1,4,3
7,1,1,2,2,1,2,4,1,0,0,0,1,1,0,0,0,1,1,1,1,2,2,2,1,5,2,3,3,0,0,0,0,1,0,1,1,3,1,1,2,2
8,1,1,3,1,3,3,4,0,0,1,0,1,0,0,0,1,1,1,1,2,1,4,1,3,5,2,1,3,1,1,0,0,0,0,4,1,2,1,3,4,5
9,1,2,3,2,1,1,4,1,1,0,0,0,1,0,1,0,0,2,3,1,3,2,3,2,3,1,2,1,0,0,0,0,0,1,2,1,3,1,1,4,3
10,1,3,2,3,2,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,3,4,1,1,1,1,2,1,0,0,1,0,0,0,2,1,3,1,2,5,4
11,1,1,1,2,2,3,2,0,0,1,0,0,0,1,0,0,0,1,1,1,3,4,1,1,2,2,2,1,0,0,0,1,0,0,3,1,2,2,1,4,5
12,1,2,2,2,2,1,4,1,1,0,1,1,1,1,0,1,1,2,3,2,2,4,1,1,1,1,1,2,0,1,0,0,0,0,2,1,3,1,1,5,5
13,1,2,2,2,1,1,4,1,0,0,1,0,1,0,0,1,0,1,1,3,3,2,2,2,5,2,1,3,0,1,0,0,1,0,4,1,2,3,1,1,4
14,1,2,3,2,1,1,3,1,0,0,1,0,0,0,0,1,1,2,1,2,3,4,3,3,2,2,1,2,0,1,0,1,0,0,2,1,3,1,1,4,5
15,2,2,3,2,2,1,4,0,0,1,0,1,0,1,0,0,1,3,2,2,2,1,3,2,2,1,3,2,0,1,1,0,0,0,3,1,2,2,2,5,4
16,2,2,2,3,2,1,4,1,0,0,1,0,1,0,0,0,1,2,1,1,3,2,2,3,5,1,3,2,1,0,0,0,0,0,2,1,2,2,3,5,4
17,2,2,1,3,2,2,2,0,0,0,1,1,1,0,0,1,0,2,1,1,3,2,2,2,5,2,2,1,0,1,0,0,0,0,4,1,2,1,1,4,1
18,2,2,1,1,2,2,1,0,1,0,1,0,1,0,0,1,0,2,1,2,2,4,2,2,4,1,3,1,0,1,1,0,0,0,3,2,3,1,1,4,5
19,1,1,3,3,1,2,3,0,0,0,1,0,0,1,0,1,0,1,1,1,4,2,1,1,3,2,1,2,0,1,0,0,0,1,2,1,2,1,1,4,2
20,1,1,1,1,2,1,4,0,0,1,1,0,0,1,0,1,0,4,4,2,4,2,1,1,2,2,1,2,0,1,0,0,0,0,3,1,3,1,1,4,3
21,1,1,2,2,1,2,3,0,1,0,1,0,0,1,0,1,0,2,1,1,2,1,1,1,5,1,3,3,1,1,0,0,0,0,2,1,2,4,1,3,1
22,1,1,3,2,1,3,2,1,0,0,0,1,0,1,0,0,1,2,1,2,3,2,3,2,1,1,3,2,1,0,1,0,0,0,3,1,2,2,1,4,4
23,1,3,1,3,1,2,4,0,0,0,1,0,0,0,0,1,0,4,1,2,1,4,1,1,5,3,3,3,0,1,0,0,0,0,3,1,3,1,3,4,5
24,2,3,1,3,2,3,4,1,1,0,0,0,1,0,0,1,0,2,1,1,1,2,2,2,3,2,1,1,0,0,0,1,0,0,4,2,2,3,1,3,3
25,1,1,1,1,2,2,1,0,0,0,1,0,0,0,0,1,0,2,1,2,4,3,1,2,3,2,3,2,0,1,0,0,0,0,4,1,4,2,2,4,5
26,1,2,1,1,2,2,3,1,0,0,1,0,0,1,0,1,0,2,1,2,3,4,1,1,5,2,1,2,1,1,0,0,0,0,3,1,2,2,1,4,3
27,1,2,1,3,2,2,3,0,0,0,1,0,0,1,0,0,0,2,2,1,3,1,3,3,5,1,2,1,1,0,0,0,0,0,3,1,2,2,3,5,1
28,1,2,2,2,2,3,1,0,1,0,0,1,0,0,1,0,1,2,3,3,3,2,2,2,4,2,1,1,0,0,0,1,0,1,2,1,2,4,1,3,2
29,1,1,3,1,2,1,3,0,0,0,1,1,0,0,0,1,1,3,1,2,2,2,1,3,1,2,1,1,1,0,0,1,0,0,1,1,3,1,1,4,3
30,1,1,3,3,1,3,4,1,0,0,1,0,0,1,0,1,0,1,1,1,2,4,2,1,5,2,2,3,0,1,0,0,0,0,2,1,2,1,1,5,1
31,1,2,3,2,2,3,3,0,1,0,1,0,0,1,0,1,0,2,1,2,3,2,3,2,2,2,2,1,0,1,1,0,0,0,2,2,2,1,1,4,5
32,2,1,3,2,2,2,4,0,1,0,0,1,0,0,0,1,0,1,1,3,3,2,3,3,3,3,1,1,0,0,0,1,0,1,3,1,2,1,3,3,3
33,1,3,2,2,1,2,3,0,1,0,1,0,0,0,0,1,1,2,1,1,2,2,1,1,1,2,1,3,0,1,1,0,0,0,3,1,2,4,1,4,5
34,1,2,2,2,1,1,4,0,1,0,1,0,1,1,0,0,0,1,3,1,2,4,3,2,3,2,3,1,1,0,0,0,0,1,2,1,1,2,1,3,5
35,1,1,2,2,2,1,4,0,0,1,1,0,1,0,0,0,1,1,3,2,3,2,1,2,1,2,1,3,0,1,0,0,1,0,1,1,2,3,1,5,1
36,1,1,2,2,2,2,4,0,1,1,0,0,1,0,0,1,0,1,3,2,2,4,2,1,2,2,1,1,1,1,0,0,0,0,3,1,3,1,1,4,5
37,1,2,2,2,1,1,4,0,1,0,0,1,0,0,0,1,1,2,1,1,2,2,1,2,4,2,3,1,1,1,0,0,0,0,2,1,3,4,1,5,1
38,1,1,3,2,1,3,2,0,1,1,0,0,0,0,0,1,1,2,1,1,1,4,1,2,1,2,1,2,1,0,0,0,0,1,1,1,2,1,2,4,5
39,2,2,3,1,2,2,4,0,1,0,1,0,0,0,0,1,1,2,1,1,2,4,3,2,5,2,3,1,0,1,1,0,0,0,3,2,1,2,2,5,5
40,1,1,2,2,1,2,3,0,1,0,1,0,1,0,0,0,1,2,3,1,1,4,1,2,4,1,1,1,0,1,0,0,1,0,1,1,2,2,3,4,1
41,2,2,2,2,1,1,3,0,1,0,0,1,0,0,0,1,1,2,2,2,3,3,3,2,4,1,2,1,0,0,0,0,0,1,2,1,3,2,1,5,3
42,2,1,2,3,1,1,3,0,1,0,1,0,1,0,1,0,0,2,1,1,3,4,1,2,4,1,1,1,1,0,0,0,1,0,2,1,2,1,2,5,5
43,2,2,3,3,1,2,4,0,0,1,1,0,1,1,0,0,0,2,1,1,2,1,3,2,5,2,2,1,1,0,0,0,0,1,4,1,3,1,1,5,3
44,1,1,1,2,2,3,4,0,1,1,0,0,1,0,0,1,0,2,1,2,3,4,3,2,5,1,1,3,1,1,0,0,0,0,2,1,2,2,2,3,4
45,2,1,3,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,2,2,4,2,2,3,2,3,1,1,1,0,0,0,0,4,1,3,2,2,1,1
46,2,1,3,1,2,3,3,0,1,1,0,0,0,1,1,0,0,2,1,2,4,1,1,2,1,1,3,3,1,0,0,0,0,0,4,1,3,3,3,4,1
47,1,1,2,2,2,2,4,0,0,1,0,1,0,1,0,0,1,2,1,2,2,2,3,1,2,1,3,1,0,1,0,1,0,0,3,1,2,1,2,5,5
48,1,2,2,2,3,1,4,0,1,0,1,0,1,0,0,1,0,2,1,2,3,4,1,2,3,2,3,1,0,0,1,0,0,1,1,1,2,3,1,1,4
49,2,2,2,2,1,2,3,0,1,0,1,1,0,1,1,0,1,1,1,3,3,2,2,2,5,2,1,2,1,1,0,0,0,1,1,1,2,4,1,4,2
50,2,1,1,1,2,3,2,0,1,0,1,0,0,0,1,1,0,1,1,1,2,2,1,1,5,2,1,3,1,0,0,1,0,0,3,1,2,2,1,5,1
51,1,3,3,2,1,2,3,0,1,1,0,0,0,1,0,1,0,2,1,1,2,3,1,2,1,2,2,1,0,0,1,0,0,1,2,1,3,1,1,4,2
52,1,2,1,2,2,1,3,1,1,0,1,1,1,0,0,1,1,2,1,2,4,2,1,2,2,1,1,1,0,1,1,1,0,1,2,1,3,1,1,4,5
53,1,1,3,2,2,1,3,0,0,0,1,1,0,1,0,1,0,2,1,2,3,4,1,2,1,2,1,1,1,1,0,0,0,0,2,1,2,2,2,4,2
54,1,3,3,3,2,2,3,1,1,0,1,0,1,1,0,1,0,1,1,2,3,4,2,2,3,1,1,1,1,0,0,0,0,0,3,1,2,2,1,4,4
55,1,1,1,2,2,3,2,0,0,1,0,0,0,1,0,0,0,1,1,1,3,4,1,1,2,2,2,1,0,0,0,1,0,0,3,1,3,2,1,4,5
56,2,3,1,1,1,3,1,1,0,0,1,0,1,0,0,1,0,2,1,2,4,4,1,2,1,1,3,3,1,1,0,0,0,0,4,2,3,1,2,2,5
57,1,2,2,2,1,4,1,0,1,0,0,1,0,0,0,1,1,2,2,2,3,2,1,1,3,2,1,2,0,1,0,0,0,0,3,2,2,4,1,4,2
58,2,3,3,2,1,3,2,0,1,0,0,0,0,0,0,0,1,4,1,2,4,2,1,1,1,2,3,2,0,1,0,0,0,0,3,1,2,1,1,4,2
59,1,3,2,2,3,1,2,1,0,1,0,0,0,1,0,1,0,2,1,1,2,4,1,1,2,2,3,3,1,1,0,0,0,0,1,1,3,1,1,4,5
60,1,2,2,2,2,1,2,0,0,0,1,1,1,0,0,1,0,2,1,1,3,4,1,1,1,2,1,1,0,0,0,0,1,1,2,1,2,1,1,4,5
61,1,1,2,2,2,2,4,0,1,0,0,1,1,1,0,0,0,1,1,2,3,4,2,2,1,1,1,1,1,0,0,0,0,1,4,1,2,1,2,4,3
62,2,2,1,3,2,1,3,1,1,0,0,0,0,1,0,1,0,2,1,3,2,4,1,2,3,2,1,1,0,1,0,1,0,0,3,1,4,2,1,3,3
63,1,2,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0,2,1,2,3,4,2,2,5,2,1,2,0,0,0,1,0,0,4,1,2,4,2,5,3
64,1,2,3,1,3,1,3,0,1,0,1,0,0,0,0,1,1,4,1,2,1,2,1,2,3,2,1,3,0,0,0,1,0,0,1,1,3,2,1,1,5
65,1,1,3,3,2,3,4,1,0,0,1,0,1,1,0,0,0,2,1,2,3,2,2,3,5,1,1,1,1,0,0,0,1,0,3,1,2,1,3,2,5
66,1,1,2,2,1,1,1,0,1,0,1,0,0,1,0,1,0,2,1,1,3,4,1,2,4,2,2,1,1,1,0,0,0,0,2,1,3,2,1,5,5
67,1,2,3,1,2,1,3,0,1,0,1,1,0,1,0,1,1,4,1,2,2,3,3,1,1,1,3,1,1,0,0,1,0,1,4,2,2,1,1,3,4
